Name,Pos,team,$,YDiff,Diff,FPs,Avg,#Own,FP/$,#Gm,#HG,#AG,ARnk,Wed 01/13,Thu 01/14,Fri 01/15,Sat 01/16,Sun 01/17,Mon 01/18,Gp,G,A,P,+/-,Pim,Sht,H,Blk,Gwg,Otg,Ppg,Shg,Toi,PPToi,Ga,Sv%,Sv,Win,Loss,Otl,So
D Hunt,D,MIN,0.50,0.00,0.00,79,6.6,0,13.2,3,0,3,22,,@LAK,,@LAK,,@ANA,12,0,1,1,-1,0,7,8,17,0,0,0,0,11:30,00:26,0,0,0,0,5,0,0
J Polin,W,COL,0.50,0.00,0.00,79,11.3,0,22.6,2,2,0,11,STL,,STL,,,,7,1,0,1,1,2,6,12,1,0,0,0,0,07:25,00:05,0,0,0,0,2,0,0
M Lajoie,D,TOR,0.50,0.00,0.00,77,11.0,0,22.0,4,2,2,24,MTL,,@OTT,@OTT,,WPG,7,0,1,1,1,0,1,13,7,0,0,0,0,12:43,00:12,0,0,0,0,1,0,0
L Johansen,D,WSH,0.50,0.00,0.00,77,9.6,1,19.3,3,0,3,6,,@BUF,@BUF,,@PIT,,8,0,1,1,1,4,6,2,7,0,0,0,0,14:12,00:02,0,0,0,0,4,0,0
S Mukhamadullin,D,SJS,0.50,0.00,0.00,75,25.0,0,50.0,3,0,3,13,,@ARI,,@ARI,,@STL,3,0,1,1,0,4,5,3,11,0,0,0,0,21:09,01:20,0,0,0,0,1,0,0
L Rousek,W,BUF,0.50,0.00,0.00,72,4.8,0,9.6,3,2,1,10,,WSH,WSH,,,@PHI,15,0,2,2,-1,0,4,5,7,0,0,0,0,10:38,00:03,0,0,0,0,7,0,0
T Kleven,D,OTT,0.50,0.00,0.00,69,7.7,0,15.3,2,2,0,13,,,TOR,TOR,,,9,0,1,1,-1,2,7,8,9,0,0,0,0,12:39,00:08,0,0,0,0,5,0,0
M Lucic,W,BOS,0.50,0.00,-2.02,68,17.0,0,34.0,3,0,3,25,,@NJD,,@NJD,,@NYI,4,0,2,2,-1,2,1,8,2,0,0,0,0,11:58,00:27,0,0,0,0,0,0,0
S Fagemo,W,LAK,0.50,0.00,0.00,67,8.4,0,16.8,2,2,0,29,,MIN,,MIN,,,8,1,0,1,-1,0,13,5,3,0,0,1,0,09:11,01:15,0,0,0,0,5,0,0
N Petan,C,MIN,0.50,0.00,-0.19,66,11.0,0,22.0,3,0,3,22,,@LAK,,@LAK,,@ANA,6,0,2,2,-2,2,11,3,1,0,0,0,0,10:50,01:00,0,0,0,0,4,0,0
J Christiansen,D,CBJ,0.50,0.00,0.00,66,5.5,0,11.0,3,0,3,16,,@NSH,,@NSH,,@DET,12,0,2,2,-5,2,7,8,15,0,0,0,0,13:13,00:00,0,0,0,0,6,0,0
E Comrie,G,BUF,0.50,0.00,-1.73,64,6.4,0,12.8,3,2,1,10,,WSH,WSH,,,@PHI,10,0,0,0,0,0,0,0,0,0,0,0,0,51:59,00:00,32,87.4,222,2,8,0,0
M Highmore,C,OTT,0.50,0.00,-0.43,64,9.1,0,18.3,2,2,0,13,,,TOR,TOR,,,7,0,2,2,0,0,1,2,4,0,0,0,0,07:43,00:01,0,0,0,0,5,0,0
V Ponomarev,C,CAR,0.50,0.00,0.00,64,32.0,0,64.0,3,0,3,22,,@DET,,@DET,,@NSH,2,1,1,2,1,0,1,0,1,0,0,0,0,09:41,00:00,0,0,0,0,0,0,0
C White,C,MTL,0.50,0.00,-1.61,62,2.2,0,4.4,3,0,3,10,@TOR,,,@EDM,,@EDM,28,0,0,0,-5,4,16,22,12,0,0,0,0,09:31,00:01,0,0,0,0,14,0,0
J Jenik,W,ARI,0.50,0.00,-1.16,62,12.4,0,24.8,3,2,1,18,,SJS,,SJS,,@VGK,5,0,1,1,-1,5,2,6,8,0,0,0,0,08:23,00:00,0,0,0,0,3,0,0
N Chibrikov,W,WPG,0.55,0.00,0.05,61,61.0,0,110.9,2,1,1,15,,CAL,,,,@TOR,1,1,0,1,0,0,3,5,0,1,0,0,0,11:03,00:00,0,0,0,0,0,0,0
A Petrovic,D,DAL,0.50,0.00,0.00,58,7.3,0,14.5,0,0,0,0,,,,,,,8,0,0,0,0,2,6,16,4,0,0,0,0,12:08,00:00,0,0,0,0,3,0,0
C Petersen,G,PHI,0.50,0.00,-3.56,58,11.6,0,23.2,3,3,0,10,PIT,,PIT,,,BUF,5,0,0,0,0,0,0,0,0,0,0,0,0,55:23,00:00,18,86.4,114,2,3,0,0
B Biro,W,BUF,0.50,0.00,0.00,58,11.6,0,23.2,3,2,1,10,,WSH,WSH,,,@PHI,5,2,0,2,0,0,2,0,2,0,0,0,0,10:51,00:00,0,0,0,0,4,0,0
D Gushchin,W,SJS,0.50,0.00,0.00,56,14.0,0,28.0,3,0,3,13,,@ARI,,@ARI,,@STL,4,1,1,2,-2,0,4,2,7,0,0,0,0,14:41,00:12,0,0,0,0,3,0,0
S Sabourin,W,SJS,0.50,0.00,-0.47,55,18.3,0,36.7,3,0,3,13,,@ARI,,@ARI,,@STL,3,0,0,0,0,9,3,10,1,0,0,0,0,09:17,00:00,0,0,0,0,2,0,0
S Colangelo,W,ANA,0.50,0.00,0.00,55,18.3,0,36.7,3,1,2,14,,@VGK,,@VGK,,MIN,3,1,0,1,0,2,7,3,2,0,0,0,0,12:33,00:00,0,0,0,0,2,0,0
