id,ids,name,surname,position,team,price,active,assists,average,blocks,datum,diff,domaci,fletter,ga,goals,gwg,gwin,ha,hits,icetime,id_day,id_muzstvo,injured,last_points,ldesc,locked,loss,matches,note,otg,otl,owned,permil,plusminus,pm,points,ppg,pptime,pts,saves,sdiff,shg,shots,so,sog,spct,status,zaciatok,zmena
8477180,,Aaron Dell,Dell,G,SJS,500000,0,,,,,0,,A,,,,,0,,,0,54,0,0,,0,,,,,,0,,,,,,,,,-310000,,,,,,,,
8484536,,Kocha Delic,Delic,C,CBJ,500000,0,,,,,0,,K,,,,,0,,,0,38,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,
8480420,,Collin Delia,Delia,G,EDM,500000,1,,,,,0,,C,,,,,0,,,0,41,0,0,,0,,,,,,0,,,,,,,,,-1220000,,,,,,,,
8477215,,Danny DeKeyser,DeKeyser,D,DET,500000,0,,,,,0,,D,,,,,0,,,0,40,0,0,,0,,,,,,0,,,,,,,,,-1370000,,,,,,,,
8476214,,Brandon DeFazio,DeFazio,W,BOS,500000,0,,,,,0,,B,,,,,0,,,0,32,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8478498,,Jake DeBrusk,DeBrusk,W,VAN,3390000,1,20,24.195122,44,,0,,J,0,28,4,0,0,96,16:39,0,58,0,0,,0,30,82,,2,0,0,,-15,18,1984.00,14,00:00,48,0,950000,0,170,0,,,,,
8479337,,Alex DeBrincat,DeBrincat,W,DET,4340000,1,31,31.304878,38,,0,,A,0,39,4,0,0,33,17:52,0,40,0,0,,0,34,82,,1,0,0,,-13,29,2567.00,13,00:00,70,0,-1250000,0,244,0,,,,,
8477027,,Matthew Deblouw,Deblouw,C,CAL,500000,0,,,,,0,,M,,,,,0,,,0,34,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8477950,,Tony DeAngelo,DeAngelo,D,NYI,2600000,1,15,19.371429,36,,0,,T,0,4,1,0,0,17,23:21,0,46,0,0,,0,15,35,,1,0,0,,-11,10,678.00,0,00:00,19,0,540000,0,76,0,,,,,
8484538,,Nicholas Deangelis,Deangelis,D,CBJ,500000,0,,,,,0,,N,,,,,0,,,0,38,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,
8482784,,Zach Dean,Dean,C,STL,500000,1,,,,,0,,Z,,,,,0,,,0,55,1,0,20251028,0,,,,,,0,,,,,,,,,0,,,,,,,2025-09-30,2025-09-30
8477520,,Jean-Sebastien Dea,Dea,C,ARI,500000,0,,,,,0,,J,,,,,0,,,0,52,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8484455,,Nathaniel Day,Day,G,EDM,500000,1,,,,,0,,N,,,,,0,,,0,41,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,
8479413,,Sean Day,Day,D,TBL,500000,0,,,,,0,,S,,,,,0,,,0,56,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8482076,,Nico Daws,Daws,G,NJD,4620000,1,0,51.500000,0,,0,,N,7,0,0,3,0,0,43:49,0,49,0,0,,0,3,6,,0,0,0,,0,0,309.00,0,00:00,0,107,4120000,0,0,1,,93.9,,,
8480240,,Brett Davis,Davis,W,DAL,500000,0,,,,,0,,B,,,,,0,,,0,39,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8483740,,Josh Davies,Davies,W,FLA,500000,1,,,,,0,,J,,,,,0,,,0,42,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,
8479602,,Jeremy Davies,Davies,D,OTT,500000,0,,,,,0,,J,,,,,0,,,0,50,0,0,,0,,,,,,0,,,,,,,,,-510000,,,,,,,,
8480004,,Marcus Davidsson,Davidsson,C,BUF,500000,0,,,,,0,,M,,,,,0,,,0,33,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8480247,,Jonathan Davidsson,Davidsson,W,OTT,500000,0,,,,,0,,J,,,,,0,,,0,50,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8483728,,Jared Davidson,Davidson,C,MTL,500000,1,,,,,0,,J,,,,,0,,,0,45,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,
8475869,,Brandon Davidson,Davidson,D,BUF,500000,0,,,,,0,,B,,,,,0,,,0,33,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8485216,,Hyde Davidson,Davidson,D,EDM,500000,0,,,,,0,,H,,,,,0,,,0,41,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,
8477460,,Laurent Dauphin,Dauphin,C,ARI,500000,0,,,,,0,,L,,,,,0,,,0,52,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8467514,,Pavel Datsyuk,Datsyuk,C,ARI,500000,0,,,,,0,,P,,,,,0,,,0,52,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8474152,,Scott Darling,Darling,G,FLA,500000,0,,,,,0,,S,,,,,0,,,0,42,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8481713,,Alexandr Darin,Darin,W,ARI,500000,0,,,,,0,,A,,,,,0,,,0,52,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8478112,,Cameron Darcy,Darcy,C,TBL,500000,0,,,,,0,,C,,,,,0,,,0,56,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8482458,,Philippe Daoust,Daoust,C,OTT,500000,0,,,,,0,,P,,,,,0,,,0,50,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8476861,,Oscar Dansk,Dansk,G,ANA,500000,1,,,,,0,,O,,,,,0,,,0,31,0,0,,0,,,,,,0,,,,,,,,,-1020000,,,,,,,,
8477448,,Marko Dano,Dano,C,WPG,500000,0,,,,,0,,M,,,,,0,,,0,60,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8483108,,Nolan Dann,Dann,W,ARI,500000,0,,,,,0,,N,,,,,0,,,0,52,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8471186,,Yann Danis,Danis,G,NJD,500000,0,,,,,0,,Y,,,,,0,,,0,49,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8484160,,Nate Danielson,Danielson,C,DET,500000,1,,,,,0,,N,,,,,0,,,0,40,1,0,20251009,0,,,,,,0,,,,,,,,,,,,,,,,2025-09-30,2025-09-30
8479941,,Justin Danforth,Danforth,W,BUF,2350000,1,12,17.983607,48,,0,,J,0,9,1,0,0,126,14:23,0,33,0,0,,0,27,61,,0,0,0,,-6,18,1097.00,0,00:00,21,0,,1,95,0,,,,,
8484805,,Ben Danford,Danford,D,TOR,500000,1,,,,,0,,B,,,,,0,,,0,57,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,
8476479,,Phillip Danault,Danault,C,LAK,4560000,1,41,26.430233,78,,0,,P,0,10,4,0,0,96,17:53,0,43,0,0,,0,26,86,,0,0,0,,22,26,2273.00,1,00:00,51,0,1410000,0,131,0,,,,,
8480988,,Riley Damiani,Damiani,C,DAL,500000,0,,,,,0,,R,,,,,0,,,0,39,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8476342,,Patrick Daly,Daly,D,NJD,500000,0,,,,,0,,P,,,,,0,,,0,49,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8474610,,Zac Dalpe,Dalpe,C,FLA,500000,1,,,,,0,,Z,,,,,0,,,0,42,0,0,,0,,,,,,0,,,,,,,,,-590000,,,,,,,,
8470110,,Trevor Daley,Daley,D,DET,500000,0,,,,,0,,T,,,,,0,,,0,40,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8477472,,Carl Dahlstrom,Dahlstrom,D,TOR,500000,0,,,,,0,,C,,,,,0,,,0,57,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8478925,,John Dahlstrom,Dahlstrom,W,CHI,500000,0,,,,,0,,J,,,,,0,,,0,36,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8485648,,Aron Dahlqvist,Dahlqvist,D,WSH,500000,1,,,,,0,,A,,,,,0,,,0,59,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,
8480839,,Rasmus Dahlin,Dahlin,D,BUF,5400000,1,50,38.767123,89,,0,,R,0,17,1,0,0,100,24:14,0,33,0,0,,0,29,73,,1,0,0,,11,54,2830.00,5,00:00,67,0,3600000,0,200,0,,,,,
8479373,,Jonathan Dahlen,Dahlen,C,SJS,500000,0,,,,,0,,J,,,,,0,,,0,54,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8476403,,Klas Dahlbeck,Dahlbeck,D,CAR,500000,0,,,,,0,,K,,,,,0,,,0,35,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8474149,,Evgenii Dadonov,Dadonov,W,DAL,3060000,1,23,18.020833,44,,0,,E,0,21,2,0,0,64,13:13,0,39,0,0,,0,33,96,,0,0,0,,-2,12,1730.00,5,00:00,44,0,1200000,0,139,0,,,,,
8481523,,Kirby Dach,Dach,C,MTL,2030000,1,12,15.192982,35,,0,,K,0,10,2,0,0,99,15:40,0,45,0,0,,0,25,57,,0,0,0,,-29,40,866.00,1,00:00,22,0,80000,0,84,0,,,,,
8482703,,Colton Dach,Dach,C,CHI,2220000,1,5,17.760000,11,,0,,C,0,2,0,0,0,86,12:08,0,36,0,0,,0,14,25,,0,0,0,,-3,17,444.00,0,00:00,7,0,1720000,0,27,0,,,,,
8485670,,Kale Dach,Dach,C,PIT,500000,1,,,,,0,,K,,,,,0,,,0,53,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,
8478916,,Joey Daccord,Daccord,G,SEA,5290000,1,2,39.614035,0,,0,,J,151,0,0,27,0,0,57:49,0,63,0,0,,0,25,57,,0,5,0,,0,0,2258.00,0,00:00,2,1449,3960000,0,0,2,,90.6,,,
8475309,,Jerry D&#x27;Amigo,D&#x27;Amigo,W,BUF,500000,0,,,,,0,,J,,,,,0,,,0,33,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8483123,,Daniel D&#x27;Amico,D&#x27;Amico,W,STL,500000,0,,,,,0,,D,,,,,0,,,0,55,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8483063,,Daniel D&#x27;Amato,D&#x27;Amato,W,VGK,500000,0,,,,,0,,D,,,,,0,,,0,62,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8480394,,Alex D'Orio,D'Orio,G,PIT,500000,0,,,,,0,,A,,,,,0,,,0,53,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8485569,,Gabriel D'Aigle,D'Aigle,G,PIT,500000,1,,,,,0,,G,,,,,0,,,0,53,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,
8477814,,Kevin Czuczman,Czuczman,D,MIN,500000,0,,,,,0,,K,,,,,0,,,0,44,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8485386,,Ethan Czata,Czata,C,TBL,500000,1,,,,,0,,E,,,,,0,,,0,56,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,
8478512,,Austin Czarnik,Czarnik,C,DET,500000,0,,,,,0,,A,,,,,0,,,0,40,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8482157,,Will Cuylle,Cuylle,W,NYR,4180000,1,25,30.304878,45,,0,,W,0,20,3,0,0,300,15:05,0,47,0,0,,0,36,82,,0,0,0,,12,42,2485.00,2,00:00,45,0,3680000,2,152,0,,,,,
8474202,,John Curry,Curry,G,MIN,500000,0,,,,,0,,J,,,,,0,,,0,44,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8477680,,Josh Currie,Currie,W,OTT,500000,0,,,,,0,,J,,,,,0,,,0,50,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8484846,,Maxmilian Curran,Curran,C,COL,500000,1,,,,,0,,M,,,,,0,,,0,37,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,
8478212,,Kodie Curran,Curran,D,BOS,500000,0,,,,,0,,K,,,,,0,,,0,32,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8475414,,Craig Cunningham,Cunningham,W,ARI,500000,0,,,,,0,,C,,,,,0,,,0,52,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8474837,,Mark Cundari,Cundari,D,SJS,500000,0,,,,,0,,M,,,,,0,,,0,54,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8471879,,Kyle Cumiskey,Cumiskey,D,CHI,500000,0,,,,,0,,K,,,,,0,,,0,36,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8485631,,Ashton Cumby,Cumby,D,CHI,500000,1,,,,,0,,A,,,,,0,,,0,36,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,
8464989,,Matt Cullen,Cullen,C,PIT,500000,0,,,,,0,,M,,,,,0,,,0,53,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8476950,,Ryan Culkin,Culkin,D,CAL,500000,0,,,,,0,,R,,,,,0,,,0,34,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8478861,,Karlis Cukste,Cukste,D,SJS,500000,0,,,,,0,,K,,,,,0,,,0,54,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8481719,,Max Crozier,Crozier,D,TBL,940000,1,0,10.400000,6,,0,,M,0,0,0,0,0,11,16:41,0,56,0,0,,0,3,5,,0,0,0,,0,0,52.00,0,00:00,0,0,440000,0,9,0,,,,,
8485628,,Jackson Crowder,Crowder,C,WSH,500000,1,,,,,0,,J,,,,,0,,,0,59,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,
8471788,,Tim Crowder,Crowder,W,PIT,500000,0,,,,,0,,T,,,,,0,,,0,53,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8478474,,Lawson Crouse,Crouse,W,UTA,2240000,1,6,16.037037,42,,0,,L,0,12,2,0,0,193,13:44,0,64,0,0,,0,31,81,,0,0,0,,-4,39,1299.00,1,00:00,18,0,50000,0,126,0,,,,,
8480075,,Cameron Crotty,Crotty,D,OTT,500000,1,0,-10.000000,0,,0,,C,0,0,0,0,0,0,05:08,0,50,0,0,,0,0,1,,0,0,0,,-1,0,-10.00,0,00:00,0,0,0,0,0,0,,,,,
8483765,,Emmett Croteau,Croteau,G,MTL,500000,1,,,,,0,,E,,,,,0,,,0,45,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,
8474019,,Tommy Cross,Cross,D,STL,500000,0,,,,,0,,T,,,,,0,,,0,55,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8471675,,Sidney Crosby,Crosby,C,PIT,5570000,1,58,40.725000,37,,0,,S,0,33,10,0,0,66,20:22,0,53,0,0,,0,33,80,,4,0,0,,-20,31,3258.00,12,00:00,91,0,-360000,0,227,0,,,,,
